,no_protease,c_0.000M,c_0.421M,c_0.842M,c_1.263M,c_1.684M,c_2.105M,c_2.526M,c_2.947M,c_3.368M,c_3.789M,c_4.211M,c_4.632M,c_5.053M,c_5.474M,c_5.895M,c_6.316M,c_6.737M,c_7.158M,c_7.579M,c_8.000M
prot_000097,99,11,10,3,5,0,1,0,1,0,1,3,0,8,0,0,11,0,2,0,0
prot_000098,75,24,11,1,2,0,1,0,0,0,4,0,0,0,5,0,5,0,9,9,0
prot_000099,69,63,95,80,102,62,150,131,127,169,208,266,263,305,487,621,695,793,1057,1365,1183
prot_000100,49,35,65,73,76,53,100,92,82,113,142,186,171,216,245,217,124,71,16,20,3
prot_000101,80,55,122,90,116,101,146,163,153,196,220,226,214,198,164,94,43,22,6,7,9
prot_000102,64,36,54,43,25,12,4,9,0,0,0,1,0,0,0,5,0,0,6,7,0
prot_000103,55,43,85,67,82,55,104,95,105,152,163,225,186,251,347,470,554,598,853,1142,1046
prot_000104,50,31,50,60,58,49,100,114,85,109,100,61,20,7,2,5,0,4,0,0,0
prot_000105,74,52,109,78,127,86,125,135,165,216,217,241,191,163,106,63,35,16,10,8,4
prot_000106,64,45,82,78,100,63,104,99,71,65,41,31,9,8,1,8,1,11,3,0,2
prot_000107,82,79,69,42,21,3,2,1,1,0,1,0,0,0,0,3,0,9,8,0,0
prot_000108,37,6,5,2,2,3,0,0,0,0,0,1,1,1,2,3,0,5,1,0,0
prot_000109,83,64,118,96,157,83,150,162,141,212,271,327,313,343,383,433,219,100,54,51,0
prot_000110,77,59,93,94,118,55,86,45,15,5,1,1,0,0,0,2,0,0,0,2,7
prot_000111,64,33,42,22,6,1,2,0,1,0,0,0,1,0,0,0,0,2,0,0,11
prot_000112,79,64,95,83,86,54,73,47,28,25,14,7,1,5,0,3,4,2,0,2,7
prot_000113,102,73,106,117,155,116,216,161,121,89,48,17,2,2,2,8,0,0,0,0,0
prot_000114,44,25,17,9,5,2,0,0,0,1,0,2,1,0,0,3,1,0,0,0,3
prot_000115,84,63,113,108,146,112,169,166,186,232,250,344,327,366,473,467,425,271,214,155,35
prot_000116,49,34,63,61,68,53,97,89,82,136,139,171,140,132,116,79,36,14,8,8,0
prot_000117,82,72,120,108,127,86,158,179,181,225,257,286,319,345,496,518,508,419,313,263,142
prot_000118,66,61,80,88,99,58,57,38,19,9,4,0,0,0,0,0,0,8,0,0,13
prot_000119,69,68,81,66,106,60,133,137,135,177,181,228,161,190,169,113,93,56,39,34,4
prot_000120,116,89,139,132,148,123,192,226,202,240,187,110,58,38,26,4,1,0,0,24,10
prot_000121,101,82,135,127,155,103,181,212,192,211,171,150,79,32,13,11,3,2,0,0,2
prot_000122,115,16,8,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0
prot_000123,53,38,62,57,71,41,62,38,38,27,14,4,2,0,0,0,0,0,1,0,0
prot_000124,100,4,1,1,0,2,0,0,0,0,0,1,0,3,0,11,2,0,0,7,0
prot_000125,108,79,149,138,153,98,143,94,37,16,6,3,1,0,0,0,0,0,3,12,8
prot_000126,90,71,115,108,86,49,38,21,8,6,0,2,3,2,0,0,0,0,5,0,0
prot_000127,82,26,21,15,4,1,4,0,0,4,0,0,3,3,3,2,0,0,0,0,15
prot_000128,78,10,13,7,1,0,6,0,0,0,0,0,1,3,0,1,0,7,6,5,0
prot_000129,141,130,174,194,203,135,257,265,232,192,156,64,28,14,0,8,0,0,0,4,30
prot_000130,113,64,51,26,15,2,5,3,0,0,1,0,0,0,0,8,0,0,0,9,3
prot_000131,58,40,84,76,85,65,116,111,117,162,141,187,185,151,100,41,29,2,4,0,0
prot_000132,67,59,95,94,98,56,133,126,123,145,143,130,71,40,33,19,7,9,12,0,0
prot_000133,121,110,165,132,147,81,88,46,33,7,2,9,10,5,0,5,0,3,0,0,9
prot_000134,134,118,165,149,209,136,265,249,240,181,128,68,45,10,9,0,0,0,14,0,37
prot_000135,83,3,2,0,0,0,1,1,0,3,0,0,0,4,4,12,0,1,9,0,4
prot_000136,102,83,138,127,157,126,239,212,190,263,322,396,356,448,700,785,777,668,425,293,106
prot_000137,133,137,189,181,194,122,168,79,40,4,1,3,4,0,2,0,0,0,9,2,3
prot_000138,70,49,100,81,118,65,150,137,141,200,186,266,247,184,137,82,38,19,24,0,0
prot_000139,67,13,9,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,5
prot_000140,87,69,125,112,162,84,142,96,63,31,8,13,3,3,0,2,7,3,0,10,0
prot_000141,68,76,85,72,117,68,141,108,117,146,130,100,68,42,33,21,16,17,0,16,0
prot_000142,144,116,197,180,226,143,259,270,273,305,412,568,538,706,717,846,535,323,87,57,39
prot_000143,55,55,82,70,88,62,97,97,120,69,45,29,14,8,2,5,0,6,11,5,0
prot_000144,76,57,101,98,89,61,76,47,22,7,3,2,0,0,0,0,0,5,13,3,0
prot_000145,165,137,170,97,53,15,11,13,5,3,0,1,2,0,0,7,12,0,0,0,17
prot_000146,38,33,44,37,31,12,15,7,1,0,0,0,0,1,0,0,1,0,1,1,0
prot_000147,88,76,103,110,126,78,127,70,32,15,9,4,2,4,0,0,0,0,6,0,0
prot_000148,58,50,75,59,96,44,83,78,39,17,14,11,1,0,0,0,0,0,0,3,0
prot_000149,65,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0
prot_000150,54,39,85,72,78,56,92,104,116,142,161,227,166,243,305,264,191,110,84,46,19
prot_000151,63,55,79,98,105,68,132,116,129,157,212,248,195,255,288,188,108,36,19,10,0
prot_000152,75,27,18,7,4,0,2,0,0,0,0,0,3,0,1,4,0,2,3,0,0
prot_000153,86,82,128,94,126,85,128,64,25,5,1,0,0,0,0,0,0,0,0,0,0
prot_000154,100,18,8,1,0,2,0,0,0,1,0,2,0,0,3,0,4,0,0,1,7
prot_000155,19,13,20,23,34,16,31,35,36,34,25,18,5,4,3,1,0,0,0,0,0
prot_000156,70,56,77,34,20,1,2,1,1,0,0,2,0,0,0,2,6,0,0,3,0
prot_000157,86,88,107,113,141,99,169,183,177,236,237,319,299,293,336,321,211,121,122,87,13
prot_000158,72,46,84,99,116,64,147,133,170,187,221,311,288,312,361,431,388,228,249,164,79
prot_000159,75,67,107,87,124,61,138,153,178,214,227,266,233,270,208,151,113,57,22,19,0
prot_000160,59,8,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
prot_000161,40,39,60,63,64,30,75,98,69,93,143,158,152,188,220,290,298,224,141,131,47
prot_000162,90,67,93,54,39,16,15,12,6,1,0,0,0,0,0,2,0,0,0,7,10
prot_000163,49,2,3,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0
prot_000164,99,69,139,122,151,116,111,45,12,0,5,1,2,0,0,3,0,0,0,0,3
prot_000165,53,54,80,51,52,12,6,5,2,0,3,0,0,0,0,0,5,0,3,0,1
prot_000166,108,92,144,162,163,93,211,216,218,266,230,310,198,100,52,36,4,14,0,30,0
prot_000167,77,63,97,113,128,71,139,151,153,185,246,272,264,239,205,136,35,33,9,10,12
prot_000168,77,82,88,92,79,28,29,18,5,3,0,3,3,4,3,0,5,6,2,0,0
prot_000169,71,46,96,92,106,86,147,128,128,181,218,316,238,319,387,545,552,375,270,174,77
prot_000170,69,56,72,52,14,3,2,0,0,0,0,1,0,0,0,1,0,0,0,9,3
prot_000171,81,67,101,92,123,83,125,157,109,91,50,33,7,6,7,4,0,0,0,12,0
prot_000172,110,68,124,74,52,12,13,7,1,0,4,0,0,0,6,2,10,0,0,10,13
prot_000173,34,26,51,50,64,26,64,68,77,91,107,126,111,101,77,45,9,1,0,1,0
prot_000174,53,17,13,4,1,1,0,0,0,1,0,0,0,0,1,0,3,0,0,11,2
prot_000175,107,6,4,0,2,0,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0
prot_000176,89,56,145,102,146,71,125,89,37,18,9,11,4,1,0,4,7,6,18,7,9
prot_000177,126,102,171,137,168,131,255,255,255,332,313,536,472,638,817,1218,1271,1252,1750,2050,1104
prot_000178,86,57,131,107,133,97,146,171,157,209,233,365,332,393,432,498,401,168,99,50,22
prot_000179,51,45,61,66,74,47,108,91,98,99,80,67,22,8,4,5,1,0,0,8,0
prot_000180,43,53,66,62,78,54,87,109,67,101,131,175,155,183,281,340,380,361,405,418,198
prot_000181,68,44,114,88,106,68,120,123,127,163,212,266,222,128,103,34,15,4,3,0,9
prot_000182,102,82,129,128,179,128,188,167,102,84,40,21,9,4,5,0,4,0,4,3,0
prot_000183,81,54,103,43,20,3,0,0,1,0,4,0,0,0,1,5,0,0,11,0,0
prot_000184,72,49,102,80,110,62,121,147,148,196,184,260,189,150,90,61,11,10,0,0,4
prot_000185,93,99,117,125,142,104,190,213,183,197,244,194,125,79,48,14,13,3,0,13,25
prot_000186,78,69,105,82,91,35,28,9,3,2,1,0,0,0,6,1,7,0,0,1,0
prot_000187,59,7,7,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,9,0
prot_000188,51,42,62,63,81,49,79,96,101,133,146,196,158,224,335,351,444,388,411,429,226
prot_000189,114,77,116,73,65,17,15,5,9,7,0,0,1,0,0,0,0,0,1,12,9
prot_000190,109,85,144,132,185,105,175,229,212,275,346,409,402,526,678,808,911,779,596,353,197
prot_000191,55,41,54,44,27,15,13,3,5,2,1,0,1,0,0,0,5,3,0,0,0
prot_000192,78,19,14,6,4,1,0,0,2,1,1,0,0,3,0,0,15,0,2,0,0
prot_000193,95,75,140,116,148,77,187,198,221,228,262,388,342,419,624,845,1096,1069,1290,1992,1610
prot_000194,50,14,16,8,7,0,0,0,2,0,0,0,1,0,1,1,0,3,5,0,0
prot_000195,83,35,43,9,5,2,2,0,2,0,0,1,1,0,2,4,0,0,0,11,0
prot_000196,77,60,121,115,137,73,142,156,118,111,128,72,28,17,6,8,0,0,7,0,0
prot_000197,41,30,59,44,68,43,86,89,92,107,126,181,161,192,244,302,312,209,123,81,30
prot_000198,156,87,97,34,22,12,1,1,1,1,1,2,2,2,3,5,3,0,7,15,33
prot_000199,67,54,76,56,66,26,36,16,6,9,0,0,4,1,0,1,6,5,2,6,0
prot_000200,87,62,115,102,137,95,181,171,168,226,226,263,281,256,191,124,89,21,11,12,7
prot_000201,38,37,60,53,56,32,82,78,90,109,120,159,133,178,218,321,334,208,174,175,39
prot_000202,162,138,215,236,212,166,292,310,223,205,149,102,53,21,25,16,0,0,4,8,9
prot_000203,150,41,39,20,8,5,0,1,3,1,0,1,0,0,7,4,3,2,9,0,0
prot_000204,41,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
prot_000205,68,36,56,26,26,3,4,4,0,2,0,0,0,1,1,0,0,0,0,6,0
prot_000206,128,32,19,2,0,0,1,0,2,3,1,0,5,4,0,0,0,0,0,0,16
prot_000207,68,57,90,97,84,81,130,148,140,150,168,186,104,63,47,21,18,1,3,0,0
prot_000208,91,18,11,11,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
prot_000209,48,35,65,53,75,48,83,76,66,55,21,20,7,4,0,0,2,2,0,0,2
prot_000210,69,58,100,100,102,67,140,148,125,157,185,255,258,197,219,186,151,55,55,21,9
prot_000211,83,62,103,126,137,77,172,167,110,55,33,18,3,6,0,0,2,0,0,8,0
prot_000212,79,49,59,25,20,4,4,2,1,0,0,0,0,0,8,1,3,0,2,10,8
prot_000213,71,55,103,95,98,86,148,151,142,199,220,268,234,348,386,417,303,198,130,78,24
prot_000214,33,21,52,41,36,35,68,51,60,93,93,116,117,100,95,59,27,19,1,3,9
prot_000215,105,82,156,125,163,124,195,192,197,263,322,423,378,426,557,500,365,187,164,113,27
prot_000216,38,22,8,2,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11
prot_000217,154,39,28,11,5,3,2,0,0,0,0,4,0,0,5,3,0,10,0,24,7
prot_000218,49,42,58,71,85,52,114,107,98,116,122,178,197,166,169,109,58,15,4,6,1
prot_000219,85,50,131,85,107,61,78,31,10,3,2,1,3,0,0,8,0,9,0,0,16
prot_000220,97,81,103,58,30,5,2,0,0,0,2,1,0,1,0,1,0,0,0,0,7
prot_000221,66,47,93,81,114,63,67,38,27,7,5,2,0,0,0,0,1,2,0,0,0
prot_000222,69,55,105,93,121,82,133,151,122,134,106,59,31,9,1,9,0,4,1,4,0
prot_000223,79,65,109,110,132,91,158,146,168,198,230,282,141,59,37,27,0,0,10,0,0
prot_000224,71,53,70,53,44,5,10,8,1,2,0,0,0,0,0,0,0,6,5,0,0
prot_000225,43,38,76,48,56,53,88,86,79,110,132,163,150,217,263,332,260,172,94,57,41
prot_000226,98,4,3,1,0,0,0,0,0,0,0,0,0,0,4,6,9,0,5,0,0
prot_000227,65,58,94,89,128,76,65,74,16,13,6,3,0,0,0,0,2,1,0,0,3
prot_000228,80,57,116,100,111,82,175,168,143,156,110,139,53,23,20,4,0,0,12,2,0
prot_000229,110,22,23,8,9,2,1,1,0,1,0,0,0,0,0,0,0,0,0,10,0
prot_000230,108,39,25,6,4,0,0,0,0,0,0,0,0,0,1,0,1,1,4,19,0
prot_000231,66,54,89,92,84,56,88,56,39,25,24,4,2,3,0,2,0,1,6,0,4
prot_000232,118,97,178,147,190,127,244,257,247,291,397,508,465,556,595,679,483,302,142,107,3
prot_000233,98,65,153,120,149,110,186,221,178,140,87,38,9,2,0,3,3,0,0,0,0
prot_000234,69,62,93,99,84,56,131,138,134,188,184,275,263,317,442,536,577,414,314,354,86
prot_000235,70,64,113,104,122,65,133,150,148,176,191,203,147,133,73,30,12,22,2,0,0
prot_000236,111,101,164,123,165,121,213,197,145,148,136,127,52,37,31,17,0,3,4,0,17
prot_000237,124,120,160,169,206,130,276,216,237,346,366,432,373,315,278,119,82,28,18,8,0
prot_000238,36,2,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,0
prot_000239,64,11,4,0,0,0,0,0,0,1,4,0,0,0,0,5,0,3,0,0,7
prot_000240,101,99,143,120,159,96,201,202,233,231,298,381,314,319,337,282,122,61,41,20,4
prot_000241,47,54,61,73,52,47,106,81,89,124,150,196,198,189,232,254,180,131,67,74,18
prot_000242,103,61,78,67,45,16,24,10,8,0,5,0,0,0,0,0,3,0,5,0,0
prot_000243,186,148,252,249,259,155,256,160,48,22,10,0,0,1,0,0,3,0,8,0,0
prot_000244,92,82,125,119,157,86,193,196,178,189,158,161,74,46,24,12,0,8,9,18,9
prot_000245,45,42,64,54,71,43,105,86,101,136,130,178,141,223,283,408,411,306,318,280,157
prot_000246,76,71,86,92,133,83,157,189,123,112,86,39,15,5,5,3,0,2,0,0,4
prot_000247,111,107,138,135,146,80,80,30,12,5,1,2,0,10,0,0,0,0,0,0,0
prot_000248,87,74,130,101,85,36,23,13,2,5,0,0,0,3,0,3,3,0,0,7,0
prot_000249,87,60,128,105,108,73,103,69,33,15,9,8,0,6,1,0,6,3,2,25,0
prot_000250,62,54,93,78,100,59,139,124,123,126,133,96,51,24,7,9,4,7,0,0,2
prot_000251,47,29,77,66,79,30,91,103,93,129,153,168,168,178,220,190,115,39,14,10,3
prot_000252,124,100,173,170,206,101,154,110,37,8,16,0,5,5,1,0,0,0,18,0,0
prot_000253,63,50,64,28,23,7,3,0,0,0,3,0,0,4,0,0,0,5,0,0,0
prot_000254,23,14,23,8,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3
prot_000255,71,63,101,102,91,68,153,123,165,170,198,225,178,115,93,66,15,12,13,3,0
prot_000256,83,61,108,104,129,81,161,176,184,215,250,348,331,331,463,591,526,378,333,249,89
prot_000257,110,25,16,6,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
prot_000258,152,20,6,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0
prot_000259,71,63,87,84,117,62,136,145,157,184,206,211,202,207,203,174,114,55,35,14,1
prot_000260,90,20,37,16,18,5,6,3,1,1,0,0,0,5,0,0,2,4,5,0,0
prot_000261,77,62,94,103,116,85,147,153,139,169,197,241,176,106,52,29,7,5,12,0,10
prot_000262,102,84,99,77,35,8,0,0,0,0,1,0,1,4,0,0,3,1,0,9,4
prot_000263,64,24,16,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2
prot_000264,89,81,144,106,144,76,190,180,194,233,285,353,335,396,521,542,466,299,199,109,27
prot_000265,53,23,15,6,2,0,2,1,0,0,0,0,0,0,0,1,4,0,0,0,0
prot_000266,197,134,237,147,106,57,21,14,9,3,1,1,0,0,0,7,4,0,0,0,0
prot_000267,26,7,11,3,1,0,0,0,1,1,0,1,0,1,1,0,2,3,3,0,2
prot_000268,102,24,26,16,7,0,1,0,0,0,0,0,0,0,0,7,0,8,0,0,3
prot_000269,74,4,3,1,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,27
prot_000270,79,6,3,1,0,1,0,0,0,0,0,0,0,3,0,2,1,0,2,2,0
prot_000271,56,26,19,12,8,1,3,0,1,1,0,0,0,0,0,0,0,0,0,14,3
prot_000272,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
prot_000273,108,90,142,164,175,108,171,177,127,96,45,17,3,3,7,0,0,3,22,23,0
prot_000274,118,103,175,144,162,100,245,221,263,285,294,356,285,182,157,143,55,20,0,11,0
prot_000275,92,74,126,111,126,62,101,77,31,17,6,2,0,2,0,0,5,0,0,15,0
prot_000276,115,94,128,113,85,34,25,5,3,6,2,0,0,3,0,0,0,16,2,0,0
prot_000277,61,54,90,89,97,55,88,132,57,43,21,17,4,0,1,4,8,2,7,4,9
prot_000278,94,79,131,140,144,84,168,194,205,206,311,396,280,261,175,77,18,11,3,0,1
prot_000279,123,107,148,153,188,152,277,243,276,326,395,445,471,568,787,984,1021,920,979,839,348
prot_000280,77,3,2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,22,1
prot_000281,104,59,48,24,5,2,1,1,0,0,0,0,2,5,0,0,3,0,6,0,0
prot_000282,32,16,32,16,7,1,0,0,1,0,0,1,2,1,1,1,0,0,0,1,2
prot_000283,54,51,49,33,29,9,13,10,4,1,0,0,0,0,0,3,0,0,7,0,11
prot_000284,96,72,148,139,144,88,178,178,184,235,232,262,154,165,101,92,24,28,25,3,0
